"geoid","race_white","race_black","race_aian","race_asian","race_nhpi","race_hispanic","below_poverty","unemployed","housing_burden","no_vehicle","living_alone","crowded_housing","internet"
440070036023,0.606011021371283,0.0787975702707246,0,0.172218022023584,0,0.0881393718224553,0.0536154276351672,0.0736189754369764,0.689306319046396,0.102681569107518,0.26668444715822,0,0.93333232293811
440070037001,0.650246305418719,0.0504926108374384,0,0.0332512315270936,0,0.264778325123153,0.349753694581281,0.0197132616487455,0.244299674267101,0.0645792563600783,0.32,0,1
440070037002,0.621173543806122,0.0425342029388967,0.010073845015472,0.263833358023857,0,0.0605988432782777,0.202162898918166,0.00132504731232764,0.340198408035886,0.220183222527277,0.449499598398268,0.128272912425311,0.850197775285865
440070037003,0.600341274263753,0.0382650785880707,0.00510201047840942,0.288263966088095,0,0.0110549300220484,0.189625948143175,0.0397520875411164,0.456098538325016,0.29790364212899,0.388501106432643,0,0.989546727058775
440070037004,0.791742605278035,0.00000661230036994122,0.000000204805763670746,0.0629143273943766,0,0.0965290653647753,0.206057937670084,0.129132838868915,0.691962952304539,0.185613768688149,0.27529378129266,0,0.934117985802951
440070101011,0.800921285124792,0.0184118331136388,0,0,0,0.0379751751308691,0.157651604193181,0.0145985686543463,0.818962581376014,0.000000263623873701215,0.378547638948892,0.0220818213250424,0.892743774788188
440070101012,0.97422126745435,0.0150375939849624,0,0,0,0,0,0.0183875530410184,0,0,0.11044776119403,0,0.970149253731343
440070101013,0.859315589353612,0.0798479087452472,0,0,0,0,0.113117870722433,0.0658682634730539,0.7375,0,0.252314814814815,0,0.958333333333333
440070101014,0.89481373265157,0,0,0,0,0.10518626734843,0.0387143900657414,0.0188205771643664,0.106796116504854,0.0294599018003273,0.222222222222222,0,0.805100182149363
440070101021,0.97780244173141,0,0.0099889012208657,0,0,0.0122086570477247,0,0.362525458248473,0,0,0.281501340482574,0.032171581769437,0.871313672922252
440070101022,0.921896789307609,0.00000000637791395589202,0,0.0000000148817992304147,0,0.0000000106298565931534,0.0125523703063041,0,0.0000033325663569218,0.000000170461697216674,0.287770144352386,0,0.967625716929071
440070101023,0.952797202797203,0.0227272727272727,0,0.013986013986014,0,0.0104895104895105,0.0839160839160839,0.0294550810014728,0.545454545454546,0,0.352320675105485,0.0274261603375527,1
440070101024,0.917480998914224,0.00977198697068404,0,0.0228013029315961,0,0.0162866449511401,0.118349619978284,0,0.530952380952381,0.175084175084175,0.61952861952862,0,0.7996632996633
440070102001,0.62598804417675,0.366625961289913,0.0000935257576914665,0.000201125829128179,0,0.00592052081485265,0.00310671678279304,0.00000323848524400063,0.941676825662111,0.00355749853929554,0.167425001720691,0.00114708394876364,0.960616554518858
440070102002,0.535323812327061,0.125568046088996,0.0055005646043904,0.0000466323332431112,0,0.292650137097208,0.220103788755918,0.0000212255441770597,0.707683825717396,0.195177160603289,0.391185041299523,0.0723355707264956,0.637685452124921
440070102003,0.535242290748899,0.125550660792952,0.00550660792951542,0,0,0.29295154185022,0.220264317180617,0,0.707865168539326,0.195286195286195,0.391304347826087,0.0723905723905724,0.63768115942029
440070102004,0.715662960930195,0.0103473972696818,0.0000426338315341073,0,0,0.272828214433358,0.0392125318324318,0.000346269257622521,0.729141879406326,0.149216920948127,0.402188838978438,0.000704120798662423,0.694214855376082
