placekey,parent_placekey,location_name,top_category,latitude,longitude,street_address,city,region,postal_code,poi_cbg,total_visitors,rank
zzz-222@62k-pxk-3t9,,Touisset Marsh Wildlife Refuge,Public Parks and Beaches,41.704836,-71.238011,Touisset Marsh Wildlife Refuge,Warren,RI,02885,440010306013,112,2
zzw-223@62k-pzw-hh5,,Hugh Cole School,Public Parks and Beaches,41.725664,-71.25374,50 Asylum Rd,Warren,RI,02885,440010306013,107,3
zzy-222@62k-pxk-3t9,zzz-222@62k-pxk-3t9,Touisset Marsh Wildlife Refuge,Other Amusement and Recreation Industries,41.70511,-71.238441,Touisset Rd,Warren,RI,02885,440010306013,60,4
zzz-222@62k-pzx-gp9,,Kickemuit River,Public Parks and Beaches,41.717699,-71.254299,Kickemuit River,Warren,RI,02885,440010306013,54,5
zzw-226@62k-pzw-3dv,,Dollar General,"General Merchandise Stores, including Warehouse Clubs and Supercenters",41.725985,-71.269734,470 Metacom Ave,Warren,RI,02885,440010306021,1345,1
zzy-222@62k-pzv-r49,,Captain Nathan Munro Junior Lot,Death Care Services,41.723318,-71.266181,Adams Lane,Warren,RI,02885,440010306021,583,2
225-222@62k-pzw-5zz,,Dudek Bowling Alleys,Other Amusement and Recreation Industries,41.728855,-71.267768,409 Child St,Warren,RI,02885,440010306021,348,3
222-222@62k-pzw-3t9,,Advance Auto Parts,"Automotive Parts, Accessories, and Tire Stores",41.721461,-71.268702,582 Metacom Ave,Warren,RI,02885,440010306021,218,4
zzw-225@62k-pzw-3dv,,LTPIndoor GOLF CENTER,Other Amusement and Recreation Industries,41.727089,-71.269405,426 Metacom Ave,Warren,RI,02885,440010306021,182,5
zzw-222@62k-q22-qs5,,McDonald's,Restaurants and Other Eating Places,41.71673,-71.26783,636 Metacom Ave,Warren,RI,02885,440010306022,1263,1
224-222@62k-q22-rff,,Dunkin',Restaurants and Other Eating Places,41.713725,-71.267206,670 Metacom Ave,Warren,RI,02885,440010306022,585,2
222-222@62k-q22-rhq,,Luke's Inn,Restaurants and Other Eating Places,41.715364,-71.267694,650 Metacom Ave,Warren,RI,02885,440010306022,506,3
zzw-224@62k-q22-qpv,,Hometown Tavern,Restaurants and Other Eating Places,41.71738,-71.268213,632 Metacom Ave,Warren,RI,02885,440010306022,270,4
228-224@62k-q22-tjv,,Victoria's Flowers,Florists,41.719606,-71.268662,606 Metacom Ave,Warren,RI,02885,440010306022,185,5
222-223@62k-q22-vmk,,Ocean State Plaza,Shopping Center,41.720188,-71.270833,601 Metacom Ave,Warren,RI,02885,440010306023,1397,1
zzw-227@62k-q22-qpv,,CVS,Health and Personal Care Stores,41.718096,-71.269175,615 Metacom Ave,Warren,RI,02885,440010306023,557,2
zzw-222@62k-q22-vpv,222-223@62k-q22-vmk,Ocean State Job Lot,"General Merchandise Stores, including Warehouse Clubs and Supercenters",41.719443,-71.270747,601 Metacom Ave,Warren,RI,02885,440010306023,485,3
223-222@62k-q22-r6k,,Burger King,Restaurants and Other Eating Places,41.71885,-71.269358,609 Metacom Ave,Warren,RI,02885,440010306023,482,4
222-222@62k-q22-vzz,222-223@62k-q22-vmk,Lauren's Restaurant,Restaurants and Other Eating Places,41.7199,-71.269232,601A Metacom Ave,Warren,RI,02885,440010306023,448,5
zzz-223@62k-pzy-swk,,Burrs Hill Park,Public Parks and Beaches,41.722436,-71.284159,Burrs Hill Park,East Providence,RI,02885,440010306024,451,1
zzy-222@62k-pzy-swk,zzw-222@62k-pzy-swk,Warren Town Beach,Other Amusement and Recreation Industries,41.722898,-71.284915,533 Water St # 559,Warren,RI,02885,440010306024,148,2
225-222@62k-q23-66k,,Ammouri Gas,Gasoline Stations,41.717037,-71.281201,943 Main St,Warren,RI,02885,440010306024,141,3
zzw-223@62k-pzy-sh5,,Warren Town Beach,Public Parks and Beaches,41.723001,-71.286199,Town Beach,Warren,RI,02885,440010306024,134,4
zzw-222@62k-q23-8jv,,Super Mart Warren,Grocery Stores,41.723804,-71.281557,747 Main St,Warren,RI,02885,440010306024,133,5
22p-222@62k-pxd-ygk,,Sakuratani Ramen & Izakaya,Restaurants and Other Eating Places,41.674934,-71.27277,531 Wood St,Bristol,RI,02809,440010307001,284,1
zzw-222@62k-pxd-yd9,,Bette's Finishing Touch,Florists,41.675351,-71.272424,572 Wood St,Bristol,RI,02809,440010307001,278,2
